source_code,proxy_source,retrieval_date,retrieval_url,description
Source_178, , , ,"WHO Health Topics, GHO, indicators, prevalence of stunted among children u5 years of age (% height-for-age <-2 SD) Accessed on 3 January 2021 from https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-(-height-for-age--2-sd)"
Source_179, , , ,"WHO_2001-2009 Health Sector Review. National Department of Health, May 2009. Papua New Guinea"
Source_180, , , ,WHO_2004 Annual Report  Maternal & Child Health.Samoa
Source_181, , , ,WHO_Department of Health and Social Affairs.Federated States of Micronesia
Source_182, , , ,"WHO_Family Health Unit Statistics, Bureau of Public Health, Ministry of Health, Palau."
Source_183, , , ,"WHO_Health Information and Planning Unit, Department of Health and Social Affairs, The Federated States of Micronesia."
Source_184, , , ,"WHO_Health Information Unit, Ministry of Health and Medical Services. Kiribati"
Source_185, , , ,"WHO_Ministry of Health Annual Report 2009. Ministry of Health, Fiji. Accessed on August 2011 at [http://www.health.gov.fj/files/reports/Annual%20Report%202009.pdf]"
Source_186, , , ,"WHO_Ministry of Health, Marshall Islands."
Source_187, , , ,"WHO_Ministy of Health Annual Report (Kumiti Ejmour) Fiscal Year 2007 & 2008, Marshall Islands."
Source_188, , , ,"WHO_Pacific Island Populations - Estimates and projections 2005-2015, Secretariat of the Pacific Community, Noumea, 2006. [http://www.spc.int/demog/en/index.html]."
Source_189, , , ,"WHO_Population Division of the Department of Economic and Social Affairs of the United Nations Secretariat, World Population Prospects: The 2008 Revision and World Urbanization Prospects: The 2009 Revision,[http://esa.un.org/wup2009/unup/]Monday, J"
Source_190, , , ,WHO_Report of the Minister of Health for the year 2007.Tonga
Source_191, , , ,WHO_UNICEF-WHO Joint Immunization Report 2011. Vanuatu
Source_192, , , ,"World Health Organization, 2005. Western pacific country health information profiles: 2005 revision. Retrieved from: https://iris.wpro.who.int/bitstream/handle/10665.1/13994/9290611979_2005_full.pdf"
Source_193, , , ,"World Health Organization, 2006. Western pacific country health information profiles: 2006 revision. Retrieved from: https://iris.wpro.who.int/bitstream/handle/10665.1/10902/9290612290_eng.pdf"
Source_194, , , ,"World Health Organization, 2008. Western pacific country health information profiles: 2008 revision. Retrieved from: https://iris.wpro.who.int/bitstream/handle/10665.1/10901/9789290613954_eng.pdf"
Source_195, , , ,"World Health Organization, 2009. Western pacific country health information profiles: 2009 revision. Retrieved from: https://iris.wpro.who.int/bitstream/handle/10665.1/10900/9789290614425_eng.pdf"
Source_196, , , ,"World Health Organization, 2010. Western pacific country health information profiles: 2010 revision. Retrieved from: https://iris.wpro.who.int/bitstream/handle/10665.1/5511/9789290614913_eng.pdf"
Source_197, , , ,"World Health Organization, 2011. Western pacific country health information profiles: 2011 revision. Retrieved from: https://iris.wpro.who.int/bitstream/handle/10665.1/10522/9789290615408_eng.pdf"
